ZIP,CITY,STABBR,INSTNM,SCH_DEG,HIGHDEG,CONTROL,REGION,LOCALE,ADM_RATE,UGDS,TUITFTE,AGE_ENTRY,SECTOR
19038-8242,Erdenheim,PA,Antonelli Institute,2,2,3,2,21,NULL,188,20143,20.12834225,Private
19464,Pottstown,PA,Antonelli Medical and Professional Institute,1,1,3,2,22,NULL,128,5067,28.97260274,Private
19038-3295,Glenside,PA,Arcadia University,3,4,2,2,21,0.588,2482,13828,20.33655275,Private
19053-6939,Trevose,PA,Aria Health School of Nursing,1,1,2,2,21,0.8,217,6824,25.95890411,Private
19341-1310,Exton,PA,Automotive Training Center-Exton,1,1,3,2,21,NULL,372,12081,21.85945946,Private
19114-1018,Philadelphia,PA,Aviation Institute of Maintenance-Philadelphia,1,1,3,2,11,NULL,320,13695,28.62790698,Private
15220,Pittsburgh,PA,Barber School of Pittsburgh,1,1,3,2,11,NULL,38,6984,28.54878049,Private
17701,Williamsport,PA,Barone Beauty Academy,1,1,3,2,13,NULL,43,9973,23.77142857,Private
15010-4208,Beaver Falls,PA,Beaver Falls Beauty Academy,1,1,3,2,21,NULL,43,9750,25.81333333,Private
15146-2388,Monroeville,PA,Bella Capelli Academy,1,1,3,2,21,NULL,209,10509,22.84353742,Private
19533-9112,Leesport,PA,Berks Career & Technology Center,NULL,1,1,2,21,NULL,52,11460,27.33928571,Public
19610-1168,Wyomissing,PA,Berks Technical Institute,2,2,3,2,21,NULL,985,13540,26.23800066,Private
19440,Hatfield,PA,Biblical Theological Seminary,3,4,2,2,21,NULL,NULL,9039,NULL,Private
15233,Pittsburgh,PA,Bidwell Training Center Inc,1,2,2,2,11,0.9412,169,0,32.5862069,Private
17815,Bloomsburg,PA,Bloomsburg University of Pennsylvania,3,4,1,2,13,0.8781,9109,7837,20.02391629,Public
15219,Pittsburgh,PA,Bradford School,2,2,3,2,11,0.8831,413,13819,21.08403361,Private
19008,Broomall,PA,Brightwood Career Institute-Broomall,1,2,3,2,21,NULL,329,9819,27.83757962,Private
17111,Harrisburg,PA,Brightwood Career Institute-Harrisburg,1,2,3,2,21,NULL,217,9230,25.74445077,Private
19154,Philadelphia,PA,Brightwood Career Institute-Philadelphia Mills,1,2,3,2,11,NULL,640,8804,26.35294118,Private
15222,Pittsburgh,PA,Brightwood Career Institute-Pittsburgh,2,2,3,2,11,NULL,444,8534,28.02446043,Private
19009-0717,Bryn Athyn,PA,Bryn Athyn College of the New Church,3,3,2,2,21,0.5802,271,10966,20.05590062,Private
19010,Bryn Mawr,PA,Bryn Mawr College,3,4,2,2,21,0.4047,1303,21894,20.68,Private
17837,Lewisburg,PA,Bucknell University,3,4,2,2,32,0.3072,3528,31788,19.69357045,Private
18940-4106,Newtown,PA,Bucks County Community College,2,2,1,2,41,NULL,8532,5105,23.90414833,Public
19053-7368,Feasterville,PA,Bucks County School of Beauty Culture Inc,1,2,3,2,21,NULL,84,11211,27.57692308,Private
16001,Butler,PA,Butler Beauty Academy,1,1,3,2,31,NULL,23,15110,25.01398601,Private
16002,Butler,PA,Butler County Community College,2,2,1,2,31,NULL,3217,5753,23.90341753,Public
15214-2229,Pittsburgh,PA,Byzantine Catholic Seminary of Saints Cyril and Methodius,NULL,4,2,2,11,NULL,NULL,18764,NULL,Private
19087-3698,Radnor,PA,Cabrini University,3,4,2,2,21,0.7528,1334,13980,19.90247253,Private
19047-2990,Langhorne,PA,Cairn University-Langhorne,3,4,2,2,21,0.978,805,10727,21.33048433,Private
15419-1394,California,PA,California University of Pennsylvania,3,4,1,2,23,0.8967,6031,7890,22.52843315,Public
15902,Johnstown,PA,Cambria-Rowe Business College-Johnstown,2,2,3,2,13,NULL,136,8746,26.98181818,Private
18508,Scranton,PA,Career Technology Center of Lackawanna County,1,1,1,2,13,NULL,76,1022,27.74796748,Public
15068,Lower Burrell,PA,Career Training Academy-Lower Burrell,1,2,3,2,21,NULL,171,3813,28.72968198,Private
15213-3165,Pittsburgh,PA,Carlow University,3,4,2,2,11,0.907,1323,16311,24.78012422,Private
15213-3890,Pittsburgh,PA,Carnegie Mellon University,3,4,2,2,11,0.246,5819,36119,19.26609442,Private
18372,Tannersville,PA,CDE Career Institute,1,1,3,2,23,NULL,31,7031,35.09615385,Private
18104-6196,Allentown,PA,Cedar Crest College,3,4,2,2,12,0.5233,1310,17643,26.29345088,Private
17093-0309,Summerdale,PA,Central Penn College,3,3,3,2,21,NULL,1282,12895,26.7066365,Private
16823,Pleasant Gap,PA,Central Pennsylvania Institute of Science and Technology,1,1,1,2,41,NULL,243,11939,26.997151,Public
17837,Lewisburg,PA,Central Susquehanna Intermediate Unit LPN Career,1,1,1,2,32,0.5294,92,6321,28.28,Public
17602-3809,Lancaster,PA,Champ's Barber School,NULL,1,3,2,13,NULL,12,6646,28.5,Private
15232,Pittsburgh,PA,Chatham University,3,4,2,2,11,0.5231,597,17352,24.62017804,Private
19335,Downingtown,PA,Chester County Intermediate Unit,1,1,1,2,21,0.75,125,2517,29.68181818,Public
19118-2693,Philadelphia,PA,Chestnut Hill College,3,4,2,2,11,0.7471,1428,15066,27.07519641,Private
19319-0200,Cheyney,PA,Cheyney University of Pennsylvania,3,4,1,2,21,NULL,997,3048,20.91654676,Public
15068-6525,New Kensington,PA,Citizens School of Nursing,1,1,2,2,21,NULL,168,4522,28.07777778,Private
16254-8975,Shippenville,PA,Clarion County Career Center Practical Nursing Program,1,1,1,2,41,1,58,801,29.03508772,Public
16214,Clarion,PA,Clarion University of Pennsylvania,3,4,1,2,33,0.9271,4744,7355,22.08535599,Public
16830,Clearfield,PA,Clearfield County Career and Technology Center,1,1,1,2,41,NULL,64,8042,26.76033058,Public
15905-3092,Johnstown,PA,Commonwealth Technical Institute,1,2,2,2,23,NULL,222,57333,23.07692308,Private
15233-1895,Pittsburgh,PA,Community College of Allegheny County,2,2,1,2,11,NULL,16003,2424,25.25779504,Public
15061-2588,Monaca,PA,Community College of Beaver County,2,2,1,2,21,NULL,1985,6993,24.56764296,Public
19130-3991,Philadelphia,PA,Community College of Philadelphia,2,2,1,2,11,NULL,18177,2348,25.39279989,Public
17603,Lancaster,PA,Consolidated School of Business-Lancaster,2,2,3,2,21,NULL,99,12978,24.06299213,Private
17404,York,PA,Consolidated School of Business-York,2,2,3,2,13,NULL,107,12702,28.83221477,Private
19406,King of Prussia,PA,Cortiva Institute-Pennsylvania School of Muscle Therapy,1,1,3,2,21,NULL,161,10318,28.95876289,Private
16335,Meadville,PA,Crawford County Career and Technical Center Practical Nursing Program,1,1,1,2,32,NULL,27,8912,26.41071429,Public
19103,Philadelphia,PA,Curtis Institute of Music,3,4,2,2,11,0.0505,132,3971,20.86363636,Private
15061,Monaca,PA,DCI Career Institute,1,1,3,2,21,NULL,94,13868,27.03517588,Private
15226-1197,Pittsburgh,PA,Dean Institute of Technology,2,2,3,2,11,NULL,166,8986,30.24712644,Private
19063-1094,Media,PA,Delaware County Community College,2,2,1,2,21,NULL,12459,3386,24.92248182,Public
19008,Broomall,PA,Delaware County Technical School-Practical Nursing Program,1,1,1,2,21,1,41,7009,31.05555556,Public
18901-2697,Doylestown,PA,Delaware Valley University,3,4,2,2,21,0.7574,1823,17210,20.39354188,Private
18034-9568,Center Valley,PA,DeSales University,3,4,2,2,41,0.7965,2383,15995,23.36565836,Private
17013-2896,Carlisle,PA,Dickinson College,3,3,2,2,13,0.4809,2315,27496,19.36666667,Private
17104,Harrisburg,PA,Divine Crown Academy of Cosmetology,NULL,1,3,2,13,NULL,29,9049,25.48275862,Private
15905-4398,Johnstown,PA,DLP Conemaugh Memorial Medical Center,1,1,2,2,13,0.9565,242,8151,24.64606742,Private
15062,Monessen,PA,Douglas Education Center,2,2,3,2,23,NULL,267,9626,25.08683473,Private
19104,Philadelphia,PA,Drexel University,3,4,2,2,11,0.7601,16681,23559,23.22322012,Private
15801,Du Bois,PA,Du Bois Business College-Du Bois,2,2,3,2,33,NULL,90,12564,26.37451738,Private
15282,Pittsburgh,PA,Duquesne University,3,4,2,2,11,0.7306,5969,20602,20.465993,Private
18301-2999,East Stroudsburg,PA,East Stroudsburg University of Pennsylvania,3,4,1,2,13,0.8146,6125,9139,21.20663114,Public
19090,Willow Grove,PA,Eastern Center for Arts and Technology,1,1,1,2,21,0.6154,106,775,34.17164179,Public
19087-3696,Saint Davids,PA,Eastern University,3,4,2,2,21,0.6218,2381,12762,25.03911439,Private
16444-0001,Edinboro,PA,Edinboro University of Pennsylvania,3,4,1,2,31,0.993,5494,6451,21.38387928,Public
15601,Greensburg,PA,Education and Technology Institute,1,1,2,2,41,NULL,0,11512,PrivacySuppressed,Private
17022-2298,Elizabethtown,PA,Elizabethtown College,3,4,2,2,21,0.7082,1754,19788,22.96314258,Private
17022-2298,Elizabethtown,PA,Elizabethtown College School of Continuing and Professional Studies,3,4,2,2,21,NULL,341,9587,22.96314258,Private
18052,Whitehall,PA,Empire Beauty  School-Lehigh Valley,1,1,3,2,21,NULL,122,9227,26.00422489,Private
17901,Pottsville,PA,Empire Beauty School-Pottsville,1,1,3,2,32,NULL,50,9390,26.33981369,Private
18507,Moosic,PA,Empire Beauty School-Wyoming Valley,1,1,3,2,21,NULL,150,9572,25.91153142,Private
16565,Erie,PA,Erie Institute of Technology Inc,2,2,3,2,22,NULL,232,5190,27.100271,Private
17067-1222,Myerstown,PA,Evangelical Theological Seminary,3,4,2,2,23,NULL,NULL,10181,NULL,Private
15222-1320,Pittsburgh,PA,Everest Institute-Pittsburgh,1,2,3,2,11,NULL,526,9480,27.06601124,Private
15401,Uniontown,PA,Fayette County Career & Technical Institute Practical Nursing Program,1,1,1,2,23,NULL,118,2003,27.46666667,Public
15146,Monroeville,PA,Forbes Road Career and Technology Center,1,1,1,2,21,NULL,25,8798,27.0625,Public
16506-1013,Erie,PA,Fortis Institute-Erie,1,2,3,2,22,NULL,652,10486,27.07364017,Private
18704-2936,Forty Fort,PA,Fortis Institute-Forty Fort,1,2,3,2,21,NULL,186,8183,29.71883289,Private
18509-2903,Scranton,PA,Fortis Institute-Scranton,2,2,3,2,13,NULL,385,10817,26.09243698,Private
16046,Mars,PA,Fountain of Youth Academy of Cosmetology,NULL,1,3,2,21,NULL,12,11723,PrivacySuppressed,Private
17604-3003,Lancaster,PA,Franklin and Marshall College,3,3,2,2,13,0.3893,2182,29020,19.30163934,Private
17202,Chambersburg,PA,Franklin County Career and Technology Center,1,1,1,2,41,NULL,58,8382,27.67961165,Public
16541-0001,Erie,PA,Gannon University,3,4,2,2,12,0.7767,2763,16229,20.86644683,Private
15010-3599,Beaver Falls,PA,Geneva College,3,4,2,2,21,0.7106,1404,13862,24.05425401,Private
17325,Gettysburg,PA,Gettysburg College,3,3,2,2,13,0.4543,2437,29130,19.30700637,Private
19027-3010,Melrose Park,PA,Gratz College,1,4,2,2,21,NULL,7,2675,PrivacySuppressed,Private
16509-2482,Erie,PA,Great Lakes Institute of Technology,1,2,3,2,22,NULL,427,5119,24.55182073,Private
16602-3616,Altoona,PA,Greater Altoona Career & Technology Center,1,1,1,2,13,NULL,236,4350,27.8089172,Public
15904-2998,Johnstown,PA,Greater Johnstown Career and Technology Center,1,1,1,2,23,NULL,191,7257,30.25793651,Public
15370-8281,Waynesburg,PA,Greene County Career and Technology Center,1,1,1,2,32,0.8529,31,11849,29.28813559,Public
19437-0901,Gwynedd Valley,PA,Gwynedd Mercy University,3,4,2,2,21,0.7638,1941,15815,26.15935542,Private
19010-3470,Bryn Mawr,PA,Harcum College,2,2,2,2,21,0.9375,1505,14912,29.29856115,Private
17110-2999,Harrisburg,PA,Harrisburg Area Community College-Harrisburg,2,2,1,2,13,NULL,18349,4939,25.82297913,Public
17101-2208,Harrisburg,PA,Harrisburg University of Science and Technology,3,4,2,2,13,NULL,304,15803,20.68376068,Private
19041-1392,Haverford,PA,Haverford College,3,3,2,2,21,0.2469,1187,27250,19.24663677,Private
18202,Hazle TWP.,PA,Hazleton Area Career Center,1,1,1,2,23,NULL,23,3393,27.63636364,Public
19114-2009,Philadelphia,PA,Holy Family University,3,4,2,2,11,0.7326,1797,16948,22.99345693,Private
17060,Mill Creek,PA,Huntingdon County Career and Technology Center,1,1,1,2,42,0.5,28,3695,28.05882353,Public
19106,Philadelphia,PA,Hussian College School of Art,2,2,3,2,11,0.6522,79,14594,20.74074074,Private
19345-0702,Immaculata,PA,Immaculata University,3,4,2,2,21,0.7594,2012,12435,25.59577279,Private
15701-1465,Indiana,PA,Indiana County Technology Center,1,1,1,2,41,NULL,84,7488,28.34666667,Public
15705-1098,Indiana,PA,Indiana University of Pennsylvania-Main Campus,3,4,1,2,32,0.9473,12032,8048,20.23699133,Public
15235-3718,Pittsburgh,PA,Institute of Medical Careers,1,1,3,2,21,NULL,100,3417,31.01744186,Private
16105-2595,New Castle,PA,Jameson Health System,1,1,2,2,31,NULL,84,2651,28.36781609,Private
19147,Philadelphia,PA,Jean Madeline Aveda Institute,1,1,3,2,11,NULL,297,14161,22.50895141,Private
15851,Reynoldsville,PA,Jefferson County Dubois Area Vocational Technical Practical Nursing Program,1,1,1,2,33,0.9286,39,1419,27.01960784,Public
19146,Philadelphia,PA,Jna Institute of Culinary Arts,1,2,3,2,11,NULL,59,15049,24.79310345,Private
18508-1495,Scranton,PA,Johnson College,2,2,2,2,13,0.4325,455,16025,22.3030303,Private
18201,Hazleton,PA,Jolie Hair and Beauty Academy-Hazleton,1,1,3,2,21,NULL,81,13170,27.91245136,Private
18702,Wilkes Barre,PA,Jolie Hair and Beauty Academy-Wilkes-Barre,1,1,3,2,13,NULL,142,12519,26.94047619,Private
17901,Pottsville,PA,Joseph F McCloskey School of Nursing at Schuylkill Health,1,1,2,2,32,NULL,60,5973,25.62686567,Private
16652-2196,Huntingdon,PA,Juniata College,3,4,2,2,32,0.7417,1517,17342,19.54941374,Private
18440-0200,La Plume,PA,Keystone College,3,4,2,2,21,0.9205,1431,11155,21.68938548,Private
17112-1012,Harrisburg,PA,Keystone Technical Institute,1,2,3,2,21,NULL,341,9789,25.61396304,Private
18711-0801,Wilkes-Barre,PA,King's College,3,4,2,2,13,0.6727,1865,16008,20.1027668,Private
19530-0730,Kutztown,PA,Kutztown University of Pennsylvania,3,4,1,2,31,0.7967,8516,7538,20.6159288,Public
19130,Philadelphia,PA,L T International Beauty School,1,1,3,2,11,NULL,39,124,30.64893617,Private
15237-5898,Pittsburgh,PA,La Roche College,3,4,2,2,21,0.9394,1269,15588,22.46928328,Private
19141-1199,Philadelphia,PA,La Salle University,3,4,2,2,11,0.7823,4122,17325,21.85507246,Private
18509-3206,Scranton,PA,Lackawanna College,2,2,2,2,13,NULL,1405,12755,22.7258733,Private
18042-1768,Easton,PA,Lafayette College,3,3,2,2,21,0.2975,2471,27378,19.34968017,Private
16509-1025,Erie,PA,Lake Erie College of Osteopathic Medicine,3,4,2,2,12,NULL,NULL,29112,NULL,Private
17601-5036,Lancaster,PA,Lancaster Bible College,3,4,2,2,21,0.5946,1336,12028,32.43698469,Private
17584,Willow Street,PA,Lancaster County Career and Technology Center,1,2,1,2,21,NULL,462,4933,27.82511924,Public
17602,Lancaster,PA,Lancaster School of Cosmetology,1,1,3,2,21,NULL,230,13658,28.17886179,Private
17603-2897,Lancaster,PA,Lancaster Theological Seminary,3,4,2,2,13,NULL,NULL,6829,NULL,Private
19454-4114,North Wales,PA,Lansdale School of Business,2,2,3,2,21,NULL,344,10280,30.6996997,Private
19446-2003,Lansdale,PA,Lansdale School of Cosmetology Inc,1,1,3,2,21,NULL,65,5379,24.95238095,Private
15401,Uniontown,PA,Laurel Business Institute,2,2,3,2,23,0.9391,233,10477,24.73964497,Private
16146,Sharon,PA,Laurel Technical Institute,2,2,3,2,21,0.8164,157,10798,26.01538462,Private
17042,Lebanon,PA,Lebanon County Area Vocational Technical School,1,1,1,2,23,NULL,209,1841,30.83035714,Public
17003-1400,Annville,PA,Lebanon Valley College,3,4,2,2,23,0.7055,1627,18136,19.91755319,Private
18078-2598,Schnecksville,PA,Lehigh Carbon Community College,2,2,1,2,21,NULL,5906,4232,24.9028072,Public
18015,Bethlehem,PA,Lehigh University,3,4,2,2,13,0.3427,5034,26103,19.37304848,Private
16226,Ford City,PA,Lenape Technical School Practical Nursing Program,1,1,1,2,32,NULL,157,4733,27.98395722,Public
19054,Levittown,PA,Levittown Beauty Academy,1,1,3,2,21,NULL,82,6927,25.81081081,Private
19352-0999,Lincoln University,PA,Lincoln University,3,4,1,2,21,0.2716,1576,9581,22.46040724,Public
17745-2390,Lock Haven,PA,Lock Haven University,3,4,1,2,32,0.9339,4448,6927,20.64790468,Public
17325-1795,Gettysburg,PA,Lutheran Theological Seminary at Gettysburg,NULL,4,2,2,13,NULL,NULL,5272,NULL,Private
19119-1794,Philadelphia,PA,Lutheran Theological Seminary at Philadelphia,NULL,4,2,2,11,NULL,NULL,8413,NULL,Private
18634-3899,Nanticoke,PA,Luzerne County Community College,2,2,1,2,21,NULL,5566,5432,24.8069361,Public
17701-5192,Williamsport,PA,Lycoming College,3,3,2,2,13,0.7222,1340,13518,19.58625731,Private
19046-3399,Jenkintown,PA,Manor College,2,2,2,2,21,0.5376,749,14959,23.53761756,Private
16933,Mansfield,PA,Mansfield University of Pennsylvania,3,4,1,2,32,0.907,2518,6375,20.91630901,Public
18509-1598,Scranton,PA,Marywood University,3,4,2,2,13,0.7418,1878,15219,21.30393199,Private
17901,Pottsville,PA,McCann School of Business & Technology,2,2,3,2,32,NULL,3346,12238,28.22852483,Private
16137,Mercer,PA,Mercer County Career Center,1,1,1,2,41,NULL,39,4196,28.78461539,Public
15219-5166,Pittsburgh,PA,Mercy Hospital School of Nursing,1,1,2,2,11,0.8889,160,14110,25.49285714,Private
16546,Erie,PA,Mercyhurst University,3,4,2,2,12,0.8034,2539,13905,22.07633974,Private
17055,Mechanicsburg,PA,Messiah College,3,4,2,2,21,0.7998,2713,17157,19.73959342,Private
18106,Allentown,PA,Metro Beauty Academy,1,1,3,2,21,NULL,200,12166,25.08856089,Private
19110,Philadelphia,PA,Metropolitan Career Center Computer Technology Institute,2,2,2,2,11,0.5909,28,19877,32.2244898,Private
17044-1697,Lewistown,PA,Mifflin County Academy of Science and Technology,1,1,1,2,32,0.7647,56,3140,29.3880597,Public
17551-0302,Millersville,PA,Millersville University of Pennsylvania,3,4,1,2,21,0.6871,7070,7616,21.44289376,Public
18612-1098,Dallas,PA,Misericordia University,3,4,2,2,21,0.7146,2407,16200,23.64700997,Private
19422-0796,Blue Bell,PA,Montgomery County Community College,2,2,1,2,21,NULL,10968,4526,24.70748763,Public
19103-1179,Philadelphia,PA,Moore College of Art and Design,3,4,2,2,11,0.5862,412,23751,21.46606335,Private
18018-6650,Bethlehem,PA,Moravian College,3,4,2,2,13,0.862,1564,17587,20.71632896,Private
16630-1999,Cresson,PA,Mount Aloysius College,2,4,2,2,31,0.7398,1565,14262,22.9247413,Private
18104,Allentown,PA,Muhlenberg College,3,3,2,2,12,0.528,2332,22612,21.40079894,Private
19116,Philadelphia,PA,National Massage Therapy Institute,1,2,3,2,11,NULL,138,13050,30.29122807,Private
19014-1298,Aston,PA,Neumann University,3,4,2,2,21,0.9404,2464,18006,22.89441469,Private
16101,New Castle,PA,New Castle School of Trades,1,2,3,2,41,1,825,10075,28.06774809,Private
18020-7599,Bethlehem,PA,Northampton County Area Community College,2,2,1,2,21,NULL,9963,4225,24.28340292,Public
19134,Philadelphia,PA,Northeastern Hospital School of Nursing,1,1,2,2,11,NULL,70,15619,29.41025641,Private
18848-9731,Towanda,PA,Northern Tier Career Center,1,1,1,2,41,0.5882,35,7642,27.25,Public
16508-2820,Erie,PA,Northwest Regional Technology Institute,1,1,3,2,12,NULL,18,9518,34.5,Private
19114-1014,Philadelphia,PA,Orleans Technical Institute,1,2,2,2,11,0.5348,332,12595,28.99641577,Private
19102-4699,Philadelphia,PA,Peirce College,3,3,2,2,11,NULL,1743,15115,30.16521739,Private
15301-6822,Washington,PA,Penn Commercial Business/Technical School,1,2,3,2,21,0.8866,335,5925,26.03992016,Private
19007,Bristol,PA,Pennco Tech-Bristol,1,2,3,2,21,NULL,500,15192,27.06060606,Private
15904-1499,Johnstown,PA,Pennsylvania Academy of Cosmetology Arts and Sciences-Johnstown,1,1,3,2,23,NULL,24,6960,23.328125,Private
19102-1510,Philadelphia,PA,Pennsylvania Academy of the Fine Arts,3,4,2,2,11,0.9811,169,22261,24.26436782,Private
17608-0059,Lancaster,PA,Pennsylvania College of Art and Design,3,3,2,2,13,0.4229,200,21378,20.7398374,Private
17602,Lancaster,PA,Pennsylvania College of Health Sciences,2,3,2,2,13,0.4229,1415,14333,26.89330025,Private
17701-5799,Williamsport,PA,Pennsylvania College of Technology,2,3,1,2,13,NULL,5565,16354,21.8852984,Public
15202-2637,Pittsburgh,PA,Pennsylvania Gunsmith School,1,1,3,2,21,NULL,70,6070,25.69230769,Private
15904-2949,Johnstown,PA,Pennsylvania Highlands Community College,2,2,1,2,23,NULL,1257,5227,24.35754641,Public
15931-4106,Ebensburg,PA,Pennsylvania Institute of Taxidermy Inc,1,1,3,2,41,NULL,12,18196,23.85714286,Private
19063-4098,Media,PA,Pennsylvania Institute of Technology,1,2,2,2,21,NULL,661,10213,25.72047971,Private
16802-1503,University Park,PA,Pennsylvania State University-Main Campus,3,4,1,2,13,0.5029,39958,24219,21.70130834,Public
16802-1503,University Park,PA,Pennsylvania State University-World Campus,3,4,1,2,41,0.5808,5736,5773,21.70130834,Public
19131,Philadelphia,PA,Philadelphia College of Osteopathic Medicine,3,4,2,2,11,NULL,NULL,34269,28.80697051,Private
19138-1324,Philadelphia,PA,Philadelphia Technician Training,NULL,1,2,2,11,NULL,60,6713,30.02930403,Private
19144-5497,Philadelphia,PA,Philadelphia University,3,4,2,2,11,0.6394,2885,19934,23.32176871,Private
19095,Wyncote,PA,PITC Institute,1,1,3,2,21,NULL,224,9772,31.9520202,Private
15219-1907,Pittsburgh,PA,Pittsburgh Career Institute,2,2,3,2,11,NULL,114,20014,26.41212121,Private
15122,West Mifflin,PA,Pittsburgh Institute of Aeronautics,1,2,2,2,21,NULL,382,17427,23.96247241,Private
15206-3706,Pittsburgh,PA,Pittsburgh Institute of Mortuary Science Inc,2,2,2,2,11,0.6446,217,7401,29.35858586,Private
15071,Oakdale,PA,Pittsburgh Technical Institute,2,2,3,2,41,0.8532,2034,9975,23.5973236,Private
15206-2596,Pittsburgh,PA,Pittsburgh Theological Seminary,3,4,2,2,11,NULL,NULL,2195,NULL,Private
15136,McKees Rocks,PA,Pittsburgh's Ohio Valley Hospital School of Nursing,1,1,2,2,21,NULL,56,426,29.96226415,Private
15222-1984,Pittsburgh,PA,Point Park University,3,4,2,2,11,0.7074,3100,17108,22.95073892,Private
16335,Meadville,PA,Precision Manufacturing Institute,1,1,2,2,32,NULL,57,20327,30.68041237,Private
19152,Philadelphia,PA,Prism Career Institute-Philadelphia,1,1,3,2,11,0.8097,396,12508,28.52137643,Private
19082,Upper Darby,PA,Prism Career Institute-Upper Darby,1,2,3,2,21,NULL,411,32135,26.09570957,Private
19335,Downington,PA,Pulse Beauty Academy-A Paul Mitchell Partner School,1,1,3,2,21,NULL,162,12118,22.69411765,Private
19603-1706,Reading,PA,Reading Area Community College,2,2,1,2,13,NULL,3672,5654,26.15697311,Public
19611,Reading,PA,Reading Hospital School of Health Sciences,1,1,2,2,13,0.2456,345,7522,26.78571429,Private
19095-1898,Wyncote,PA,Reconstructionist Rabbinical College,NULL,4,2,2,21,NULL,NULL,17510,NULL,Private
15208-2594,Pittsburgh,PA,Reformed Presbyterian Theological Seminary,3,4,2,2,11,NULL,2,4663,PrivacySuppressed,Private
15108-1189,Moon Township,PA,Robert Morris University,3,4,2,2,21,0.762,4546,17137,22.14023457,Private
15205-9791,Pittsburgh,PA,Rosedale Technical College,2,2,2,2,21,NULL,440,7468,25.55304348,Private
19010-1699,Rosemont,PA,Rosemont College,3,4,2,2,21,0.5788,516,13889,21.97239264,Private
19128,Philadelphia,PA,Roxborough Memorial Hospital School of Nursing,1,1,3,2,11,NULL,143,13820,28.576,Private
19096,Wynnewood,PA,Saint Charles Borromeo Seminary-Overbrook,3,4,2,2,21,1,73,14503,21.76190476,Private
15940,Loretto,PA,Saint Francis University,3,4,2,2,31,0.6872,1932,13596,21.22288439,Private
19131-1395,Philadelphia,PA,Saint Joseph's University,3,4,2,2,11,0.8465,5378,23780,21.39937759,Private
15650-2690,Latrobe,PA,Saint Vincent College,3,4,2,2,21,0.7192,1564,12522,19.80145279,Private
15650-2690,Latrobe,PA,Saint Vincent Seminary,3,4,2,2,21,NULL,NULL,18763,19.80145279,Private
19027-6262,Elkins Park,PA,Salus University,3,4,2,2,21,NULL,NULL,20651,24.81538462,Private
17931,Frackville,PA,Schuylkill Technology Center,1,1,1,2,41,NULL,84,5861,30.64044944,Public
15601,Greensburg,PA,Seton Hill University,3,4,2,2,21,0.6913,1569,14235,21.81272509,Private
16146,Sharon,PA,Sharon Regional Health System School of Nursing,1,1,2,2,21,NULL,42,7485,29.95348837,Private
17257-2299,Shippensburg,PA,Shippensburg University of Pennsylvania,3,4,1,2,31,0.8313,6246,7315,20.45545759,Public
16057-1383,Slippery Rock,PA,Slippery Rock University of Pennsylvania,3,4,1,2,32,0.6597,7529,7048,20.83108108,Public
15501,Somerset,PA,Somerset County Technology Center,1,1,1,2,41,NULL,80,7089,30.4537037,Public
15216,Pittsburgh,PA,South Hills Beauty Academy Inc,1,1,3,2,21,NULL,99,15252,26.96774194,Private
16801-4516,State College,PA,South Hills School of Business & Technology,2,2,3,2,13,0.9157,628,9549,25.36349925,Private
18015,Bethlehem,PA,St Lukes Hospital School of Nursing,1,1,2,2,21,NULL,103,3921,28.20809249,Private
15238-3250,Pittsburgh,PA,St Margaret School of Nursing,1,1,2,2,21,0.8512,203,8827,27.0448718,Private
18360-1720,Stroudsburg,PA,Stroudsburg School of Cosmetology,1,1,3,2,23,NULL,45,10176,24.77777778,Private
18411-1250,Clarks Summit,PA,Summit University of Pennsylvania,3,4,2,2,21,0.8649,570,10033,24.3286119,Private
18816-0100,Dimock,PA,Susquehanna County Career and Technology Center,1,1,1,2,42,NULL,65,17371,29.375,Public
17870-1025,Selinsgrove,PA,Susquehanna University,3,3,2,2,32,0.782,2022,18030,19.4616999,Private
19081,Swarthmore,PA,Swarthmore College,3,3,2,2,21,0.1702,1530,27431,19.35869565,Private
19131,Philadelphia,PA,Talmudical Yeshiva of Philadelphia,3,3,2,2,11,0.75,120,12334,19,Private
19122-6096,Philadelphia,PA,Temple University,3,4,1,2,11,0.6173,27669,20016,21.68276263,Public
17602-3198,Lancaster,PA,Thaddeus Stevens College of Technology,2,2,1,2,13,0.2383,891,4996,21.41546527,Public
19103-5198,Philadelphia,PA,The Art Institute of Philadelphia,3,3,3,2,11,NULL,1953,15887,23.82120582,Private
15219-1328,Pittsburgh,PA,The Art Institute of Pittsburgh,2,3,3,2,11,NULL,1279,14110,28.71472255,Private
15222-4332,Pittsburgh,PA,The Art Institute of Pittsburgh-Online Division,2,3,3,2,11,NULL,9374,10851,28.71472255,Private
17402-9012,York,PA,The Art Institutes of York-PA,3,3,3,2,22,NULL,368,15128,21.48763251,Private
18510,Scranton,PA,The Commonwealth Medical College,NULL,4,2,2,13,NULL,NULL,44096,NULL,Private
19104,Philadelphia,PA,The Restaurant School at Walnut Hill College,2,3,3,2,11,0.8746,396,32258,22.18232044,Private
16601-2419,Altoona,PA,The Salon Professional Academy-Altoona,1,1,3,2,23,NULL,43,7580,22.93333333,Private
19102-4901,Philadelphia,PA,The University of the Arts,3,4,2,2,11,0.6954,1726,20918,20.18872267,Private
16125-2181,Greenville,PA,Thiel College,3,3,2,2,31,0.6949,1025,13022,19.8017094,Private
